fec_candidate_id,name,party,state,national_party
S6MI00517,"SMITH, BERNADETTE",REP,MI,REPUBLICAN PARTY
S4VA00197,"SMITH, C.L. CHUCK JR",REP,VA,REPUBLICAN PARTY
S6OR05218,"SMITH, DAVID BROCK",REP,OR,REPUBLICAN PARTY
S6IA00207,"SMITH, JOSHUA DANIEL",REP,IA,REPUBLICAN PARTY
S8MN00578,"SMITH, TINA",DEM,MN,DEMOCRATIC PARTY
S6NM01137,"SMITH, TOBY MR.",JCN,NM,JEWISH/CHRISTIAN NATIONAL
S2KS00097,"SOETAERT, MICHAEL",DEM,KS,DEMOCRATIC PARTY
S6OR05226,"SOLOMON, GAVIN",REP,OR,REPUBLICAN PARTY
S6OR05234,"SOLOMON, GAVIN",REP,OR,REPUBLICAN PARTY
S6CT05157,"SOLOMON, GAVIN",REP,CT,REPUBLICAN PARTY
S6MI00574,"SOLOMON, GAVIN",REP,MI,REPUBLICAN PARTY
S6AL00542,"SOLOMON, GAVIN",REP,AL,REPUBLICAN PARTY
S6AL00534,"SOLOMON, GAVIN",REP,AL,REPUBLICAN PARTY
S6OH00452,"SOLOMON, GAVIN",REP,OH,REPUBLICAN PARTY
S6NY00524,"SOLOMON, GAVIN",REP,NY,REPUBLICAN PARTY
S6CO00572,"SOLOMON, GAVIN",REP,CO,REPUBLICAN PARTY
S6CO00580,"SOLOMON, GAVIN",REP,CO,REPUBLICAN PARTY
S6MA00320,"SOLOMON, GAVIN",REP,MA,REPUBLICAN PARTY
S6NY00516,"SOLOMON, GAVIN",REP,NY,REPUBLICAN PARTY
S6IL00706,"SOLOMON, GAVIN",REP,IL,REPUBLICAN PARTY
S6WV00212,"SOLOMON, GAVIN",REP,WV,REPUBLICAN PARTY
S6NY00508,"SOLOMON, GAVIN",REP,NY,REPUBLICAN PARTY
S6NY00490,"SOLOMON, GAVIN",REP,NY,REPUBLICAN PARTY
S6OK04296,"SOLOMON, GAVIN",REP,OK,REPUBLICAN PARTY
S6NV00374,"SOLOMON, GAVIN",REP,NV,REPUBLICAN PARTY
S6PA00399,"SOLOMON, GAVIN",REP,PA,REPUBLICAN PARTY
S6WI00178,"SOLOMON, GAVIN",REP,WI,REPUBLICAN PARTY
S6PR00025,"SOLOMON, GAVIN",REP,PR,REPUBLICAN PARTY
S6NM01202,"SOLOMON, GAVIN",REP,NM,REPUBLICAN PARTY
S6DC00014,"SOLOMON, GAVIN",REP,DC,REPUBLICAN PARTY
S6WA00495,"SOLOMON, GAVIN",REP,WA,REPUBLICAN PARTY
S6AK00334,"SOLOMON, GAVIN",REP,AK,REPUBLICAN PARTY
S6DC00030,"SOLOMON, GAVIN",REP,DC,REPUBLICAN PARTY
S6RI00312,"SOLOMON, GAVIN",REP,RI,REPUBLICAN PARTY
S6RI00320,"SOLOMON, GAVIN",REP,RI,REPUBLICAN PARTY
S6AS00015,"SOLOMON, GAVIN",REP,AS,REPUBLICAN PARTY
S6NC00571,"SOLOMON, GAVIN",REP,NC,REPUBLICAN PARTY
S6WA00487,"SOLOMON, GAVIN",REP,WA,REPUBLICAN PARTY
S6DC00048,"SOLOMON, GAVIN",REP,DC,REPUBLICAN PARTY
S6AZ00423,"SOLOMON, GAVIN",REP,AZ,REPUBLICAN PARTY
S6AZ00449,"SOLOMON, GAVIN",REP,AZ,REPUBLICAN PARTY
S6VA00259,"SOLOMON, GAVIN",REP,VA,REPUBLICAN PARTY
S6NJ00487,"SOLOMON, GAVIN",REP,NJ,REPUBLICAN PARTY
S6MD03706,"SOLOMON, GAVIN",REP,MD,REPUBLICAN PARTY
S6NJ00479,"SOLOMON, GAVIN",REP,NJ,REPUBLICAN PARTY
S6NJ00453,"SOLOMON, GAVIN",REP,NJ,REPUBLICAN PARTY
S6DE00248,"SOLOMON, GAVIN",REP,DE,REPUBLICAN PARTY
S6DE00255,"SOLOMON, GAVIN",REP,DE,REPUBLICAN PARTY
S6ME00506,"SOLOMON, GAVIN",REP,ME,REPUBLICAN PARTY
S6SC04478,"SOLOMON, GAVIN",REP,SC,REPUBLICAN PARTY
S6FL00954,"SOLOMON, GAVIN",REP,FL,REPUBLICAN PARTY
S6FL00913,"SOLOMON, GAVIN",REP,FL,REPUBLICAN PARTY
S6MO00487,"SOLOMON, GAVIN",REP,MO,REPUBLICAN PARTY
S6NC00597,"SOLOMON, GAVIN",REP,NC,REPUBLICAN PARTY
